id_customer,first_name,last_name,email,country,signup_date
1,Margaret,Holmes,michellewhite@hopkins.com,United States Virgin Islands,2024-10-30
2,Christopher,Obrien,nathanmarshall@mcfarland.com,Anguilla,2025-08-12
3,Michael,Walker,laura95@thomas.com,Italy,2023-09-20
4,Rebecca,Williams,perezsabrina@yahoo.com,Mongolia,2023-09-21
5,Tammy,Nguyen,angelicahoward@gmail.com,Argentina,2024-03-17
6,Lisa,Williams,dalvarez@hamilton.com,Uzbekistan,2023-10-04
7,Justin,Perez,pereznatalie@hotmail.com,Lesotho,2023-03-17
8,Wayne,Hart,marcus23@moore-johnson.info,Armenia,2024-11-08
9,Walter,Hancock,christophercline@hotmail.com,Mayotte,2023-01-22
10,Dylan,Durham,jarmstrong@cochran.biz,Mexico,2023-09-23
11,Nicole,Jackson,melissawalter@mcdonald-wilkinson.com,Vanuatu,2024-04-25
12,Gary,Mcclain,tina83@pineda.com,Sao Tome and Principe,2023-05-29
13,Joshua,Obrien,calvin93@johnson-thompson.net,Tanzania,2024-08-24
14,Gwendolyn,Morgan,brownjennifer@oneill.biz,Slovakia (Slovak Republic),2024-10-08
15,Zoe,Wheeler,amanda37@hotmail.com,Tunisia,2024-07-17
16,Timothy,Miller,wcantrell@johnson.com,French Polynesia,2022-10-11
17,Lisa,Marquez,alicia57@perry.com,Vanuatu,2023-01-03
18,Candace,Blair,tdodson@gmail.com,Pitcairn Islands,2022-12-31
19,Shannon,Jensen,watkinskelsey@kim.net,Wallis and Futuna,2023-01-09
20,Alyssa,Reed,robertcampbell@powers-carey.com,Nauru,2023-01-21
21,Laura,Fernandez,brookskelly@phillips-russell.info,British Virgin Islands,2025-07-29
22,John,Mcpherson,andrewwood@ward-johnson.com,Anguilla,2025-08-01
23,Laura,Duke,kgreen@doyle-love.com,Equatorial Guinea,2023-02-19
24,Michael,Stanley,xcurtis@smith.com,Hong Kong,2024-11-30
25,Michelle,Farley,amanda84@avila.com,New Zealand,2024-04-20
26,Ryan,Anderson,alexandersmith@stephens.com,Wallis and Futuna,2024-11-28
27,John,Jimenez,williamsonphilip@ward.com,Thailand,2022-12-08
28,Kathleen,Elliott,tonya92@strickland.com,Colombia,2023-04-18
29,John,Cordova,david03@jensen.com,Cocos (Keeling) Islands,2023-02-15
30,Travis,Smith,marshpaula@jackson.com,Bahamas,2023-08-30
31,Tanya,Steele,whubbard@kim.com,Antarctica (the territory South of 60 deg S),2023-05-07
32,Kristin,Howell,tracistark@fisher.biz,Namibia,2023-11-04
33,Stacie,Simmons,harrellheather@yahoo.com,Swaziland,2023-11-12
34,Jeffrey,Owens,zcochran@hotmail.com,Samoa,2022-12-17
35,Ruth,Hartman,kathleenwade@hotmail.com,France,2023-11-15
36,Jamie,Tate,sarahlawson@johnson.com,Guadeloupe,2025-07-26
37,Jennifer,Ali,qtaylor@hotmail.com,Ukraine,2023-05-27
38,Ethan,Howard,amberdaniels@decker-duncan.com,Uruguay,2023-06-11
39,Andrew,Gray,sean39@gmail.com,Iceland,2025-02-18
40,Connie,Taylor,jaclynbradley@hotmail.com,Isle of Man,2023-12-10
41,Jean,Gray,qlopez@yahoo.com,Saint Pierre and Miquelon,2025-08-23
42,Julia,Brown,mbecker@yahoo.com,Sri Lanka,2023-05-31
43,Rodney,Spencer,michael33@yahoo.com,Croatia,2025-05-19
44,Justin,Clay,isaacjohns@gmail.com,Montenegro,2024-05-07
45,Courtney,Juarez,gvillanueva@hotmail.com,Malaysia,2025-04-19
46,James,Lopez,bookerbrian@schneider.biz,Cocos (Keeling) Islands,2023-06-13
47,Anthony,Hall,allisonalvarado@hotmail.com,Bahamas,2023-07-15
48,Michelle,Gibson,michelle26@mcgee.com,Bolivia,2022-11-14
49,Alison,Grant,barryhoward@smith-bowers.biz,British Virgin Islands,2025-09-21
50,Pamela,Barber,hernandezdonald@hanson.com,Mauritius,2024-11-08
